"","ot","it","at"
"1 núcleos",1.59899999999998,1.58100000000004,1.5889999999999
"2 núcleos",1.06500000000001,1.07499999999995,1.05200000000004
"3 núcleos",1.08999999999996,1.05799999999995,1.03899999999994
"4 núcleos",1.05299999999997,1.03999999999996,1.03599999999997
