,estimación,tamaño,tiempo,diferencia
X3.148.10,3.141203306,1210000,2.34,0.000389348
X3.1584.10,3.143105785,1210000,2.34,0.001513132
X3.1304.1.10,3.140644628,1210000,2.34,0.000948025
X3.156.10,3.13945124,1210000,2.34,0.002141414
X3.1586.10,3.14065124,1210000,2.34,0.000941414
X3.1478.10,3.140494215,1210000,2.34,0.001098439
X3.1592.10,3.142095868,1210000,2.34,0.000503214
X3.1392.11,3.141663889,1440000,2.75,7.12E-05
X3.1304.12,3.1420625,1440000,2.75,0.000469846
X3.1466.11,3.142158333,1440000,2.75,0.00056568
X3.148.11,3.142347222,1440000,2.75,0.000754569
X3.1584.11,3.144176389,1440000,2.75,0.002583735
X3.1304.1.11,3.142206944,1440000,2.75,0.000614291
X3.156.11,3.141447222,1440000,2.75,0.000145431
X3.1586.11,3.141519444,1440000,2.75,7.32E-05
X3.1478.11,3.13965,1440000,2.75,0.001942654
X3.1592.11,3.142265278,1440000,2.75,0.000672624
X3.1392.12,3.142349112,1690000,3.16,0.000756459
X3.1304.13,3.143273373,1690000,3.16,0.001680719
X3.1466.12,3.142095858,1690000,3.16,0.000503204
X3.148.12,3.140392899,1690000,3.16,0.001199754
X3.1584.12,3.140925444,1690000,3.16,0.00066721
X3.1304.1.12,3.142305325,1690000,3.16,0.000712672
X3.156.12,3.14288284,1690000,3.16,0.001290187
X3.1586.12,3.140686391,1690000,3.16,0.000906263
X3.1478.12,3.14116213,1690000,3.16,0.000430523
X3.1592.12,3.139287574,1690000,3.16,0.00230508
X3.1392.13,3.14184898,1960000,3.68,0.000256326
X3.1304.14,3.142844898,1960000,3.68,0.001252244
X3.1466.13,3.140218367,1960000,3.68,0.001374286
X3.148.13,3.141445918,1960000,3.68,0.000146735
X3.1584.13,3.141830612,1960000,3.68,0.000237959
X3.1304.1.13,3.141611224,1960000,3.68,1.86E-05
X3.156.13,3.142014286,1960000,3.68,0.000421632
X3.1586.13,3.141235714,1960000,3.68,0.000356939
X3.1478.13,3.142376531,1960000,3.68,0.000783877
X3.1592.13,3.142176531,1960000,3.68,0.000583877
X3.1392.14,3.141708444,2250000,4.08,0.000115791
X3.1304.15,3.142810667,2250000,4.08,0.001218013
X3.1466.14,3.141301333,2250000,4.08,0.00029132
X3.148.14,3.142450667,2250000,4.08,0.000858013
X3.1584.14,3.140953778,2250000,4.08,0.000638876
X3.1304.1.14,3.141258667,2250000,4.08,0.000333987
X3.156.14,3.142495111,2250000,4.08,0.000902458
X3.1586.14,3.141534222,2250000,4.08,5.84E-05
X3.1478.14,3.140607111,2250000,4.08,0.000985542
X3.1592.14,3.141674667,2250000,4.08,8.20E-05
X3.1392.15,3.140835938,2560000,4.72,0.000756716
X3.1304.16,3.141545313,2560000,4.72,4.73E-05
X3.1466.15,3.14134375,2560000,4.72,0.000248904
X3.148.15,3.141627344,2560000,4.72,3.47E-05
X3.1584.15,3.1419125,2560000,4.72,0.000319846
X3.1304.1.15,3.141583594,2560000,4.72,9.06E-06
X3.156.15,3.141098438,2560000,4.72,0.000494216
X3.1586.15,3.1417375,2560000,4.72,0.000144846
X3.1478.15,3.143391406,2560000,4.72,0.001798753
X3.1592.15,3.141396875,2560000,4.72,0.000195779
X3.1392.16,3.141705882,2890000,5.04,0.000113229
X3.1304.17,3.141228374,2890000,5.04,0.00036428
X3.1466.16,3.14097301,2890000,5.04,0.000619643
X3.148.16,3.140680969,2890000,5.04,0.000911685
X3.1584.16,3.14129827,2890000,5.04,0.000294384
X3.1304.1.16,3.141123183,2890000,5.04,0.00046947
X3.156.16,3.140706574,2890000,5.04,0.000886079
X3.1586.16,3.142152941,2890000,5.04,0.000560288
X3.1478.16,3.141337024,2890000,5.04,0.000255629
X3.1592.16,3.141376471,2890000,5.04,0.000216183
X3.1392.17,3.141908642,3240000,5.51,0.000315988
X3.1304.18,3.141669753,3240000,5.51,7.71E-05
X3.1466.17,3.141551235,3240000,5.51,4.14E-05
X3.148.17,3.142649383,3240000,5.51,0.001056729
X3.1584.17,3.142610494,3240000,5.51,0.00101784
X3.1304.1.17,3.141948765,3240000,5.51,0.000356112
X3.156.17,3.142303704,3240000,5.51,0.00071105
X3.1586.17,3.142819753,3240000,5.51,0.001227099
X3.1478.17,3.141341358,3240000,5.51,0.000251296
X3.1592.17,3.141930864,3240000,5.51,0.000338211
X3.1392.18,3.1425241,3610000,6.56,0.000931446
X3.1304.19,3.14201662,3610000,6.56,0.000423967
X3.1466.18,3.141403324,3610000,6.56,0.000189329
X3.148.18,3.141135734,3610000,6.56,0.00045692
X3.1584.18,3.142720776,3610000,6.56,0.001128122
X3.1304.1.18,3.141709141,3610000,6.56,0.000116488
